,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,2002,Anne-Marie,8808,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
151,Dynamite,"Taio Cruz",8771,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV
152,Circles,"Post Malone",8755,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
153,"Every Breath You Take","The Police",8665,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
154,"Dancing In the Dark","Bruce Springsteen",8564,https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE
155,Ophelia,"The Lumineers",8533,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
156,"Dog Days Are Over","Florence + The Machine",8506,https://open.spotify.com/track/1YLJVmuzeM2YSUkCCaTNUB
157,"Walking On Sunshine","Katrina & The Waves",8498,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0
158,Body,"Loud Luxury",8493,https://open.spotify.com/track/2fCUI41zhGk9isZnOMfxSP
159,"Everybody Wants To Rule The World","Tears For Fears",8484,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE
160,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,8478,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
161,"One Kiss (with Dua Lipa)","Calvin Harris",8477,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
